n,folded_fa_count,folded_fa_levels,folded_raw_klut_gates,folded_raw_runtime_s,folded_light_mig_before,folded_light_mig_after,folded_light_depth_before,folded_light_depth_after,folded_light_runtime_s,baseline_fa_count,baseline_fa_levels,baseline_raw_klut_gates,baseline_raw_runtime_s,baseline_light_mig_before,baseline_light_mig_after,baseline_light_depth_before,baseline_light_depth_after,baseline_light_runtime_s,delta_raw_klut_baseline_minus_folded,delta_light_mig_before_baseline_minus_folded,delta_light_mig_baseline_minus_folded,delta_light_depth_before_baseline_minus_folded,delta_light_depth_baseline_minus_folded,delta_raw_runtime_s_baseline_minus_folded,delta_light_runtime_s_baseline_minus_folded
5,4,4,13,0.001876,7,7,5,5,0.001845,7,6,22,0.001653,8,8,4,4,0.001978,9,1,1,-1,-1,-0.000222,0.000133
7,4,3,13,0.00187,8,8,4,4,0.001843,7,6,22,0.001236,8,8,4,4,0.001814,9,0,0,0,0,-0.000634,-2.9e-05
9,9,6,28,0.001801,19,19,7,7,0.002017,15,9,46,0.001979,17,17,6,6,0.001726,18,-2,-2,-1,-1,0.000179,-0.000291
11,9,6,28,0.0019,20,20,8,8,0.001919,15,9,46,0.001955,24,24,7,7,0.002327,18,4,4,-1,-1,5.5e-05,0.000408
13,11,6,34,0.001898,26,26,8,8,0.001912,15,9,46,0.001895,24,24,7,7,0.002135,12,-2,-2,-1,-1,-2e-06,0.000223
15,11,5,34,0.001623,27,27,7,7,0.002191,15,9,46,0.002054,27,27,7,7,0.00221,12,0,0,0,0,0.000431,1.9e-05
17,18,10,55,0.002172,43,43,13,13,0.002302,31,14,88,0.002454,48,48,13,13,0.002174,33,5,5,0,0,0.000282,-0.000128
19,18,9,55,0.002169,44,44,12,12,0.002379,31,14,94,0.002708,48,48,13,13,0.002139,39,4,4,1,1,0.000539,-0.00024
21,20,9,61,0.002186,50,50,13,13,0.001911,31,14,94,0.002139,57,57,14,14,0.002907,33,7,7,1,1,-4.8e-05,0.000995
23,20,9,61,0.002062,51,51,13,13,0.00239,31,14,94,0.002788,63,63,14,14,0.002915,33,12,12,1,1,0.000726,0.000526
25,24,10,73,0.002449,62,62,14,14,0.002706,31,14,94,0.002724,63,63,14,14,0.002154,21,1,1,0,0,0.000275,-0.000552
27,24,9,73,0.002435,63,63,13,13,0.00256,31,14,94,0.002776,64,64,14,14,0.003001,21,1,1,1,1,0.000341,0.000441
29,26,9,79,0.001716,69,69,14,14,0.002832,31,14,94,0.002731,70,70,14,14,0.003205,15,1,1,0,0,0.001014,0.000373
31,26,9,79,0.002807,70,70,14,14,0.002756,31,14,94,0.002445,70,70,14,14,0.00255,15,0,0,0,0,-0.000362,-0.000206
33,35,13,106,0.002509,91,91,17,17,0.002215,63,18,166,0.003385,100,100,17,17,0.003214,60,9,9,0,0,0.000876,0.000999
35,35,13,106,0.002682,92,92,18,18,0.003261,63,18,172,0.002662,106,106,17,17,0.00279,66,14,14,-1,-1,-2.1e-05,-0.000471
37,37,13,112,0.002916,98,98,18,18,0.003216,63,18,175,0.002825,100,100,16,16,0.00407,63,2,2,-2,-2,-9.1e-05,0.000854
39,37,12,112,0.001893,99,99,17,17,0.003119,63,18,172,0.002463,106,106,16,16,0.004115,60,7,7,-1,-1,0.00057,0.000997
41,41,13,124,0.002786,110,110,18,18,0.003039,63,18,178,0.003733,116,116,17,17,0.004198,54,6,6,-1,-1,0.000947,0.001159
43,41,13,124,0.003027,111,111,19,19,0.003374,63,18,181,0.00368,124,124,19,19,0.004073,57,13,13,0,0,0.000653,0.000699
45,43,12,130,0.003178,117,117,18,18,0.002661,63,18,178,0.003828,133,133,19,19,0.004095,48,16,16,1,1,0.00065,0.001434
47,43,12,130,0.003087,118,118,18,18,0.00286,63,18,184,0.003452,136,136,19,19,0.004177,54,18,18,1,1,0.000366,0.001317
49,49,13,148,0.003371,134,134,18,18,0.002989,63,18,187,0.003633,133,133,18,18,0.002875,39,-1,-1,0,0,0.000262,-0.000114
51,49,13,148,0.002253,135,135,19,19,0.003627,63,18,184,0.003827,136,136,18,18,0.002969,36,1,1,-1,-1,0.001573,-0.000658
53,51,13,154,0.003384,141,141,19,19,0.003544,63,18,190,0.00393,146,146,19,19,0.003032,36,5,5,0,0,0.000546,-0.000512
55,51,12,154,0.003372,142,142,18,18,0.003768,63,18,190,0.00266,148,148,19,19,0.003977,36,6,6,1,1,-0.000712,0.00021
57,55,13,166,0.003755,153,153,19,19,0.003458,63,18,190,0.003892,151,151,19,19,0.003037,24,-2,-2,0,0,0.000138,-0.000421
59,55,13,166,0.003589,154,154,20,20,0.004125,63,18,190,0.003288,158,158,19,19,0.004014,24,4,4,-1,-1,-0.0003,-0.000111
61,57,12,172,0.002504,160,160,19,19,0.003883,63,18,190,0.00383,158,158,19,19,0.003512,18,-2,-2,0,0,0.001326,-0.000371
