n,part,stage,folded_runtime_s,baseline_runtime_s,delta_runtime_s_baseline_minus_folded,folded_lut_cells,baseline_lut_cells,delta_lut_cells_baseline_minus_folded,folded_ff_cells,baseline_ff_cells,delta_ff_cells_baseline_minus_folded,folded_carry4_cells,baseline_carry4_cells,delta_carry4_cells_baseline_minus_folded,folded_wns_ns,baseline_wns_ns,delta_wns_ns_baseline_minus_folded,folded_datapath_delay_ns,baseline_datapath_delay_ns,delta_datapath_delay_ns_baseline_minus_folded,folded_logic_levels,baseline_logic_levels,delta_logic_levels_baseline_minus_folded,folded_clb_luts,baseline_clb_luts,delta_clb_luts_baseline_minus_folded,folded_clb_regs,baseline_clb_regs,delta_clb_regs_baseline_minus_folded,folded_carry4,baseline_carry4,delta_carry4_baseline_minus_folded,folded_dsp,baseline_dsp,delta_dsp_baseline_minus_folded,folded_ramb18,baseline_ramb18,delta_ramb18_baseline_minus_folded,folded_ramb36,baseline_ramb36,delta_ramb36_baseline_minus_folded,folded_total_power_w,baseline_total_power_w,delta_total_power_w_baseline_minus_folded,folded_dynamic_power_w,baseline_dynamic_power_w,delta_dynamic_power_w_baseline_minus_folded,folded_static_power_w,baseline_static_power_w,delta_static_power_w_baseline_minus_folded
5,xc7a100tcsg324-1,synth,28.992557,28.778341,-0.2142160000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,4.64,0.0,5.335,5.335,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.0,0.091,0.091,0.0
7,xc7a100tcsg324-1,synth,28.78461,28.851191,0.06658099999999934,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219,4.219,0.0,5.756,5.756,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
9,xc7a100tcsg324-1,synth,28.447942,28.752287,0.30434499999999787,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552,3.552,0.0,6.423,6.423,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
11,xc7a100tcsg324-1,synth,28.562284,28.482346,-0.07993799999999851,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204,3.18,-0.02400000000000002,6.771,6.795,0.02400000000000002,5.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
13,xc7a100tcsg324-1,synth,29.12977,29.167972,0.03820199999999829,13.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.965,3.2,0.23500000000000032,7.01,6.775,-0.23499999999999943,5.0,5.0,0.0,7.0,9.0,2.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
15,xc7a100tcsg324-1,synth,28.862353,28.484691,-0.3776619999999973,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928,2.928,0.0,7.047,7.047,0.0,5.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
17,xc7a100tcsg324-1,synth,28.661122,28.400638,-0.26048399999999816,22.0,20.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,2.419,0.794,8.35,7.556,-0.7939999999999996,6.0,6.0,0.0,13.0,16.0,3.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
19,xc7a100tcsg324-1,synth,28.750384,28.55397,-0.19641400000000075,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117,2.356,0.23899999999999988,7.858,7.619,-0.23899999999999988,6.0,6.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
21,xc7a100tcsg324-1,synth,28.577308,28.584003,0.006695000000000562,26.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908,2.061,0.15300000000000002,8.067,7.914,-0.15300000000000047,6.0,6.0,0.0,17.0,22.0,5.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.093,0.0010000000000000009,0.001,0.001,0.0,0.091,0.091,0.0
23,xc7a100tcsg324-1,synth,28.811359,28.52669,-0.28466900000000095,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.695,1.38,-0.31500000000000017,8.28,8.595,0.3150000000000013,6.0,6.0,0.0,21.0,23.0,2.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.001,0.002,0.001,0.091,0.091,0.0
