n,lut6_K6_folded_area,lut6_K6_baseline_area,lut6_K6_delta_area,lut6_K6_folded_delay,lut6_K6_baseline_delay,lut6_K6_delta_delay,stdcell_proxy_sky130_folded_area,stdcell_proxy_sky130_baseline_area,stdcell_proxy_sky130_delta_area,stdcell_proxy_sky130_folded_delay,stdcell_proxy_sky130_baseline_delay,stdcell_proxy_sky130_delta_delay,stdcell_proxy_asap7_folded_area,stdcell_proxy_asap7_baseline_area,stdcell_proxy_asap7_delta_area,stdcell_proxy_asap7_folded_delay,stdcell_proxy_asap7_baseline_delay,stdcell_proxy_asap7_delta_delay,stdcell_proxy_mcnc_folded_area,stdcell_proxy_mcnc_baseline_area,stdcell_proxy_mcnc_delta_area,stdcell_proxy_mcnc_folded_delay,stdcell_proxy_mcnc_baseline_delay,stdcell_proxy_mcnc_delta_delay
5,1.0,1.0,0.0,1.0,1.0,0.0,251.55,178.96,-72.59,523.5,386.14,-137.36,2.61,1.6,-1.01,132.27,99.94,-32.33,65.0,53.0,-12.0,10.2,7.2,-3.0
7,3.0,3.0,0.0,2.0,2.0,0.0,260.3,260.3,0.0,481.8,481.8,0.0,1.63,1.63,0.0,122.47,122.47,0.0,79.0,79.0,0.0,9.1,9.1,0.0
9,7.0,7.0,0.0,2.0,2.0,0.0,490.56,490.56,0.0,586.91,586.91,0.0,3.51,2.48,-1.03,139.15,138.35,-0.8,174.0,174.0,0.0,11.0,11.0,0.0
11,9.0,10.0,1.0,3.0,3.0,0.0,658.25,665.78,7.53,707.08,734.69,27.61,4.68,4.11,-0.57,183.92,180.12,-3.8,165.0,174.0,9.0,12.9,13.6,0.7
13,12.0,14.0,2.0,4.0,3.0,-1.0,979.86,903.55,-76.31,913.16,797.6,-115.56,6.27,5.5,-0.77,217.55,196.63,-20.92,264.0,238.0,-26.0,16.7,15.0,-1.7
15,16.0,16.0,0.0,3.0,3.0,0.0,961.12,961.12,0.0,797.6,797.6,0.0,5.93,5.93,0.0,196.63,196.63,0.0,266.0,266.0,0.0,15.0,15.0,0.0
17,20.0,23.0,3.0,4.0,4.0,0.0,1404.13,1335.32,-68.81,1064.23,1042.81,-21.42,9.55,10.95,1.4,268.62,254.13,-14.49,354.0,348.0,-6.0,20.4,19.6,-0.8
19,20.0,23.0,3.0,4.0,4.0,0.0,1387.89,1496.76,108.87,1008.61,1042.81,34.2,10.52,13.16,2.64,253.36,266.06,12.7,359.0,386.0,27.0,19.2,19.6,0.4
21,26.0,25.0,-1.0,4.0,4.0,0.0,1699.43,1643.19,-56.24,1145.83,1194.94,49.11,11.28,13.32,2.04,285.66,297.16,11.5,437.0,480.0,43.0,21.3,23.7,2.4
23,27.0,30.0,3.0,4.0,5.0,1.0,1839.59,1732.02,-107.57,1145.83,1201.52,55.69,12.38,14.13,1.75,285.66,307.39,21.73,464.0,497.0,33.0,21.3,24.1,2.8
