n,folded_fa_count,folded_fa_levels,folded_raw_klut_gates,folded_raw_runtime_s,folded_light_mig_after,folded_light_depth_after,folded_light_runtime_s,baseline_fa_count,baseline_fa_levels,baseline_raw_klut_gates,baseline_raw_runtime_s,baseline_light_mig_after,baseline_light_depth_after,baseline_light_runtime_s,delta_raw_klut_baseline_minus_folded,delta_light_mig_baseline_minus_folded,delta_light_depth_baseline_minus_folded,delta_raw_runtime_s_baseline_minus_folded,delta_light_runtime_s_baseline_minus_folded
5,4,4,13,0.002231,7,5,0.001821,7,6,22,0.001553,8,4,0.002062,9,1,-1,-0.000678,0.000242
7,4,3,13,0.00183,8,4,0.001952,7,6,22,0.001814,8,4,0.002036,9,0,0,-1.6e-05,8.4e-05
9,9,6,28,0.001436,19,7,0.002065,15,9,46,0.001774,17,6,0.002313,18,-2,-1,0.000339,0.000248
11,9,6,28,0.002001,20,8,0.001519,15,9,46,0.002285,24,7,0.002274,18,4,-1,0.000283,0.000755
13,11,6,34,0.002004,26,8,0.002246,15,9,46,0.002253,24,7,0.002418,12,-2,-1,0.000249,0.000171
15,11,5,34,0.001902,27,7,0.002164,15,9,46,0.002155,27,7,0.001779,12,0,0,0.000253,-0.000385
17,18,10,55,0.002324,43,13,0.002512,31,14,88,0.002783,48,13,0.002946,33,5,0,0.000459,0.000434
19,18,9,55,0.001862,44,12,0.002553,31,14,94,0.002058,48,13,0.003234,39,4,1,0.000196,0.000681
21,20,9,61,0.002295,50,13,0.002549,31,14,94,0.002854,57,14,0.00309,33,7,1,0.000559,0.000541
23,20,9,61,0.00256,51,13,0.002161,31,14,94,0.002704,63,14,0.002987,33,12,1,0.000144,0.000826
25,24,10,73,0.002679,62,14,0.002884,31,14,94,0.002944,63,14,0.002243,21,1,0,0.000265,-0.000641
27,24,9,73,0.002508,63,13,0.002101,31,14,94,0.002888,64,14,0.002114,21,1,1,0.00038,1.3e-05
29,26,9,79,0.002602,69,14,0.002828,31,14,94,0.002486,70,14,0.002585,15,1,0,-0.000117,-0.000243
31,26,9,79,0.002592,70,14,0.002942,31,14,94,0.00267,70,14,0.003078,15,0,0,7.8e-05,0.000135
33,35,13,106,0.00202,91,17,0.003108,63,18,166,0.002547,100,17,0.004576,60,9,0,0.000527,0.001468
35,35,13,106,0.002823,92,18,0.003257,63,18,172,0.002876,106,17,0.004322,66,14,-1,5.3e-05,0.001065
37,37,13,112,0.00284,98,18,0.003054,63,18,175,0.003097,100,16,0.004145,63,2,-2,0.000258,0.00109
39,37,12,112,0.003016,99,17,0.003318,63,18,172,0.003214,106,16,0.004584,60,7,-1,0.000198,0.001266
41,41,13,124,0.002656,110,18,0.002532,63,18,178,0.003044,116,17,0.002897,54,6,-1,0.000388,0.000365
43,41,13,124,0.002959,111,19,0.003405,63,18,181,0.002651,124,19,0.004497,57,13,0,-0.000308,0.001092
45,43,12,130,0.003737,117,18,0.003042,63,18,178,0.003913,133,19,0.003371,48,16,1,0.000176,0.000328
47,43,12,130,0.003384,118,18,0.003469,63,18,184,0.002816,136,19,0.003031,54,18,1,-0.000568,-0.000438
49,49,13,148,0.003262,134,18,0.004041,63,18,187,0.004086,133,18,0.003067,39,-1,0,0.000824,-0.000975
51,49,13,148,0.003212,135,19,0.003954,63,18,184,0.003424,136,18,0.004201,36,1,-1,0.000211,0.000247
