n,folded_gates,folded_depth,folded_inverters,folded_runtime_s,folded_qca_area,folded_qca_delay,folded_qca_energy,folded_stmg_area,folded_stmg_delay,folded_stmg_energy,baseline_gates,baseline_depth,baseline_inverters,baseline_runtime_s,baseline_qca_area,baseline_qca_delay,baseline_qca_energy,baseline_stmg_area,baseline_stmg_delay,baseline_stmg_energy,delta_gates_baseline_minus_folded,delta_depth_baseline_minus_folded,delta_inverters_baseline_minus_folded,delta_runtime_s_baseline_minus_folded,delta_qca_area_baseline_minus_folded,delta_qca_delay_baseline_minus_folded,delta_qca_energy_baseline_minus_folded,delta_stmg_area_baseline_minus_folded,delta_stmg_delay_baseline_minus_folded,delta_stmg_energy_baseline_minus_folded
5,36,18,12,0.033224,0.0912,0.15600000000000003,223.44,0.72,27.1576206,11247.8194,32,11,14,0.031495,0.0944,0.1,231.28000000000003,0.84,16.6050804,13355.7893,-4,-7,2,-0.00173,0.0032,-0.056,7.84,0.12,-10.55254,2107.9699
7,42,14,16,0.031986,0.1144,0.126,280.28000000000003,0.96,21.1313505,16863.7592,42,14,16,0.031789,0.1144,0.126,280.28000000000003,0.96,21.1313505,16863.7592,0,0,0,-0.000198,0.0,0.0,0.0,0.0,0.0,0.0
9,97,28,31,0.031383,0.2404,0.238,588.98,1.8599999999999999,42.2364309,23223.53345,87,24,28,0.029298,0.21639999999999998,0.194,530.1800000000001,1.68,36.1838907,23211.5786,-10,-4,-3,-0.002085,-0.024,-0.044,-58.8,-0.18,-6.05254,-11.95485
11,103,30,33,0.030623,0.2556,0.26,626.22,1.98,45.262701,26731.50335,107,26,37,0.03057,0.2764,0.20800000000000002,677.1800000000001,2.2199999999999998,36.2101608,28847.44315,4,-4,4,-5.4e-05,0.0208,-0.052,50.96,0.24,-9.05254,2115.9398
13,136,30,45,0.03129,0.34319999999999995,0.23199999999999998,840.84,2.6999999999999997,45.2101608,35879.32275,126,26,42,0.031469,0.3192,0.202,782.04,2.52,39.1838907,37267.3679,-10,-4,-3,0.000179,-0.024,-0.03,-58.8,-0.18,-6.02627,1388.04515
15,141,26,46,0.032317,0.35319999999999996,0.202,865.34,2.76,39.1838907,42183.3077,141,26,46,0.031884,0.35319999999999996,0.202,865.34,2.76,39.1838907,42183.3077,0,0,0,-0.000433,0.0,0.0,0.0,0.0,0.0,0.0
17,223,48,71,0.031767,0.5516,0.43000000000000005,1351.42,4.26,72.4465917,45782.93145,233,48,84,0.032101,0.6155999999999999,0.402,1508.22,5.04,72.3940515,47934.7358,10,0,13,0.000334,0.064,-0.028,156.8,0.78,-0.05254,2151.80435
19,227,46,75,0.034853,0.5724,0.40800000000000003,1402.38,4.5,69.4203216,51398.87125,245,48,86,0.030351,0.638,0.43000000000000005,1563.1,5.16,72.4465917,51442.7057,18,2,11,-0.004502,0.0656,0.022,160.72,0.66,3.02627,43.83445
21,258,48,82,0.031983,0.6376,0.402,1562.12,4.92,72.3940515,57726.7659,272,46,97,0.032844,0.7143999999999999,0.38,1750.28,5.819999999999999,69.3677814,57786.54015,14,-2,15,0.000861,0.0768,-0.022,188.16,0.9,-3.02627,59.77425
23,264,48,84,0.030664,0.6528,0.388,1599.3600000000001,5.04,72.3677814,61234.7358,300,49,107,0.031302,0.788,0.47600000000000003,1930.6000000000001,6.42,74.025402,63426.38965,36,1,23,0.000638,0.1352,0.088,331.24,1.38,1.657621,2191.65385
