n,design,part,stage,runtime_s,lut_cells,ff_cells,carry4_cells,dsp_cells,ramb18_cells,ramb36_cells,wns_ns,datapath_delay_ns,logic_levels,clb_luts,clb_regs,carry4,dsp,ramb18,ramb36,total_power_w,dynamic_power_w,static_power_w
5,folded,xc7a100tcsg324-1,synth,28.657413,1.0,0.0,0.0,0.0,0.0,0.0,4.64,5.335,3.0,nan,nan,nan,0.0,0.0,0.0,0.091,0.0,0.091
5,baseline,xc7a100tcsg324-1,synth,28.501251,1.0,0.0,0.0,0.0,0.0,0.0,4.64,5.335,3.0,nan,nan,nan,0.0,0.0,0.0,0.091,0.0,0.091
7,folded,xc7a100tcsg324-1,synth,28.756299,2.0,0.0,0.0,0.0,0.0,0.0,4.219,5.756,4.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
7,baseline,xc7a100tcsg324-1,synth,28.747703,2.0,0.0,0.0,0.0,0.0,0.0,4.219,5.756,4.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
9,folded,xc7a100tcsg324-1,synth,28.922421,7.0,0.0,0.0,0.0,0.0,0.0,3.552,6.423,4.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
9,baseline,xc7a100tcsg324-1,synth,28.867278,7.0,0.0,0.0,0.0,0.0,0.0,3.552,6.423,4.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
11,folded,xc7a100tcsg324-1,synth,29.203283,9.0,0.0,0.0,0.0,0.0,0.0,3.204,6.771,5.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
11,baseline,xc7a100tcsg324-1,synth,29.092722,10.0,0.0,0.0,0.0,0.0,0.0,3.18,6.795,5.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
13,folded,xc7a100tcsg324-1,synth,29.264613,13.0,0.0,0.0,0.0,0.0,0.0,2.965,7.01,5.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
13,baseline,xc7a100tcsg324-1,synth,29.268614,12.0,0.0,0.0,0.0,0.0,0.0,3.2,6.775,5.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
15,folded,xc7a100tcsg324-1,synth,28.717321,14.0,0.0,0.0,0.0,0.0,0.0,2.928,7.047,5.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
15,baseline,xc7a100tcsg324-1,synth,28.53371,14.0,0.0,0.0,0.0,0.0,0.0,2.928,7.047,5.0,nan,nan,nan,0.0,0.0,0.0,0.092,0.001,0.091
