n,part,stage,folded_runtime_s,baseline_runtime_s,delta_runtime_s_baseline_minus_folded,folded_lut_cells,baseline_lut_cells,delta_lut_cells_baseline_minus_folded,folded_ff_cells,baseline_ff_cells,delta_ff_cells_baseline_minus_folded,folded_carry4_cells,baseline_carry4_cells,delta_carry4_cells_baseline_minus_folded,folded_wns_ns,baseline_wns_ns,delta_wns_ns_baseline_minus_folded,folded_datapath_delay_ns,baseline_datapath_delay_ns,delta_datapath_delay_ns_baseline_minus_folded,folded_logic_levels,baseline_logic_levels,delta_logic_levels_baseline_minus_folded,folded_clb_luts,baseline_clb_luts,delta_clb_luts_baseline_minus_folded,folded_clb_regs,baseline_clb_regs,delta_clb_regs_baseline_minus_folded,folded_carry4,baseline_carry4,delta_carry4_baseline_minus_folded,folded_dsp,baseline_dsp,delta_dsp_baseline_minus_folded,folded_ramb18,baseline_ramb18,delta_ramb18_baseline_minus_folded,folded_ramb36,baseline_ramb36,delta_ramb36_baseline_minus_folded,folded_total_power_w,baseline_total_power_w,delta_total_power_w_baseline_minus_folded,folded_dynamic_power_w,baseline_dynamic_power_w,delta_dynamic_power_w_baseline_minus_folded,folded_static_power_w,baseline_static_power_w,delta_static_power_w_baseline_minus_folded
5,xc7a100tcsg324-1,synth,28.329048,28.521312,0.19226400000000154,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,4.64,0.0,5.335,5.335,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.0,0.091,0.091,0.0
7,xc7a100tcsg324-1,synth,28.536677,28.888235,0.3515580000000007,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219,4.219,0.0,5.756,5.756,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
9,xc7a100tcsg324-1,synth,28.93401,28.559179,-0.37483100000000036,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552,3.552,0.0,6.423,6.423,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
11,xc7a100tcsg324-1,synth,28.695979,28.808634,0.11265500000000017,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204,3.18,-0.02400000000000002,6.771,6.795,0.02400000000000002,5.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
13,xc7a100tcsg324-1,synth,29.555063,29.492065,-0.06299800000000033,13.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.965,3.2,0.23500000000000032,7.01,6.775,-0.23499999999999943,5.0,5.0,0.0,7.0,9.0,2.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
15,xc7a100tcsg324-1,synth,28.790806,29.25745,0.4666439999999987,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928,2.928,0.0,7.047,7.047,0.0,5.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
17,xc7a100tcsg324-1,synth,28.914426,28.812222,-0.1022040000000004,22.0,20.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,2.419,0.794,8.35,7.556,-0.7939999999999996,6.0,6.0,0.0,13.0,16.0,3.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
19,xc7a100tcsg324-1,synth,28.95885,28.518268,-0.4405820000000027,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117,2.356,0.23899999999999988,7.858,7.619,-0.23899999999999988,6.0,6.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
21,xc7a100tcsg324-1,synth,28.834131,28.543844,-0.2902869999999993,26.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908,2.061,0.15300000000000002,8.067,7.914,-0.15300000000000047,6.0,6.0,0.0,17.0,22.0,5.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.093,0.0010000000000000009,0.001,0.001,0.0,0.091,0.091,0.0
23,xc7a100tcsg324-1,synth,28.453447,28.623187,0.1697400000000009,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.695,1.38,-0.31500000000000017,8.28,8.595,0.3150000000000013,6.0,6.0,0.0,21.0,23.0,2.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.001,0.002,0.001,0.091,0.091,0.0
25,xc7a100tcsg324-1,synth,28.63106,28.61537,-0.01569000000000287,34.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795,1.576,-0.21899999999999986,8.18,8.399,0.21899999999999942,6.0,6.0,0.0,25.0,26.0,1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
27,xc7a100tcsg324-1,synth,28.756358,28.683804,-0.07255400000000023,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.636,1.886,0.25,8.339,8.089,-0.25,6.0,6.0,0.0,26.0,25.0,-1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
29,xc7a100tcsg324-1,synth,28.714275,28.831011,0.1167359999999995,37.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273,1.582,0.30900000000000016,8.702,8.393,-0.3089999999999993,7.0,6.0,-1.0,27.0,32.0,5.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
31,xc7a100tcsg324-1,synth,28.72166,28.625852,-0.09580800000000167,48.0,46.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388,1.228,-0.15999999999999992,8.587,8.747,0.16000000000000014,6.0,7.0,1.0,36.0,30.0,-6.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
33,xc7a100tcsg324-1,synth,28.865005,28.90057,0.03556499999999829,50.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,0.34,-0.462,9.173,9.635,0.46199999999999974,7.0,8.0,1.0,34.0,41.0,7.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
35,xc7a100tcsg324-1,synth,28.924898,28.698177,-0.22672099999999773,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.799,0.47400000000000003,9.65,9.176,-0.4740000000000002,7.0,7.0,0.0,34.0,33.0,-1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
37,xc7a100tcsg324-1,synth,29.015076,28.842451,-0.17262500000000003,51.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011,0.246,-0.7649999999999999,8.964,9.729,0.7649999999999988,7.0,8.0,1.0,33.0,40.0,7.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.094,0.0010000000000000009,0.002,0.003,0.001,0.091,0.091,0.0
